statistikkvariabel	age	gender	diagnosis	year	nConsultations
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2014	138753
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2015	139804
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2016	140120
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2017	142335
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2018	146582
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2019	152112
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2020	153206
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2021	151631
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2022	143409
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2023	154825
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2024	158581
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2012	203192
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2013	211857
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2014	215213
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2015	218948
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2016	225649
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2017	230078
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2018	239167
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2019	237305
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2020	228425
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2021	243002
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2022	231875
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2023	247288
Konsultasjoner	Alle aldre	Kvinner	Ulykker og skader	2024	247460
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2012	12389
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2013	12244
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2014	12879
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2015	12456
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2016	12693
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2017	12856
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2018	13199
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2019	13581
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2020	14343
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2021	15217
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2022	14324
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2023	15238
Konsultasjoner	Alle aldre	Kvinner	Medfoedt sykdom eller feil	2024	14755
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2012	551181
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2013	543850
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2014	538832
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2015	541828
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2016	534840
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2017	523631
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2018	526287
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2019	510501
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2020	543987
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2021	558301
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2022	494682
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2023	515066
Konsultasjoner	Alle aldre	Kvinner	Svangerskap, foedsel, prevensjon	2024	519374
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2012	46458
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2013	49239
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2014	49667
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2015	47369
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2016	47165
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2017	48036
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2018	48349
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2019	49586
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2020	232686
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2021	117684
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2022	59602
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2023	53921
Konsultasjoner	Alle aldre	Kvinner	Frykt for sykdom	2024	49985
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2012	108165
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2013	111428
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2014	131581
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2015	139316
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2016	149283
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2017	145147
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2018	179320
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2019	231024
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2020	330206
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2021	401481
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2022	393951
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2023	228312
Konsultasjoner	Alle aldre	Kvinner	Administrativ kontakt	2024	224301
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2012	177173
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2013	235148
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2014	268878
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2015	273581
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2016	279834
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2017	295773
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2018	283400
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2019	271912
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2020	296364
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2021	357451
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2022	331600
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2023	361380
Konsultasjoner	Alle aldre	Kvinner	Forebyggende kontakt	2024	325317
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2012	2264370
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2013	2254798
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2014	2327173
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2015	2326940
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2016	2373685
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2017	2439053
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2018	2479164
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2019	2530886
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2020	2780618
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2021	3111870
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2022	3382093
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2023	3185356
Konsultasjoner	Alle aldre	Kvinner	Andre diagnoser	2024	3144362
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2012	5654291
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2013	5648886
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2014	5753040
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2015	5808068
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2016	5906324
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2017	5999124
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2018	6037647
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2019	6135486
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2020	6396792
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2021	6733815
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2022	6866366
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2023	6889012
Konsultasjoner	Alle aldre	Menn	Alle diagnoser	2024	6951134
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2012	599078
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2013	545139
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2014	519269
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2015	546173
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2016	564084
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2017	583620
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2018	581808
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2019	575861
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2020	384371
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2021	382410
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2022	543229
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2023	617796
Konsultasjoner	Alle aldre	Menn	Luftveisinfeksjoner, inkl. oerebetennelse	2024	673975
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2012	474013
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2013	486016
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2014	501016
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2015	510315
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2016	516174
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2017	523366
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2018	524470
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2019	532383
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2020	538413
